"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2019","Rosario, Eddie","592696","142","583","2044",10.069451156293404,5.0881968112281015,-10.154638749947278,6.958316306863749,8.177576788148835
"2019","Bruce, Jay","457803","143","317","1179",0.5020673840058889,4.609163409977545,-10.005481781413538,0.5460381411680202,5.352347614273853
"2019","Renfroe, Hunter","592669","135","493","2021",-5.769120924412626,-10.904095186504724,-10.579353282021298,6.815984872046016,8.898342672067423
"2019","Moore, Dylan","664238","136","281","1156",-5.419002294715472,-6.983373887903373,-10.427187738794947,6.772140819738298,5.219418512244554
"2019","Duggar, Steven","621453","137","280","1128",-4.369598551633261,1.2293140866604915,-14.715216132036963,5.702356759591104,3.4139467341521113
"2019","Bader, Harrison","664056","138","399","1713",-0.9977522190789725,-4.399741737809398,-19.972244591600532,15.821604752069952,7.552629358260986
"2019","Santana, Danny","542454","140","509","1941",14.774789427677037,7.250581670150196,-2.989026915810026,2.9963538380981163,7.516880835238702
"2019","Rengifo, Luis","650859","108","399","1644",-6.912565405136855,-5.805923920061215,-18.89448111987092,11.025765045217748,6.7620745895775425
"2019","Peralta, David","444482","109","420","1562",11.478560468978461,-5.809161007824239,2.030949323672615,10.108434830880418,5.148337322249685
"2019","Benintendi, Andrew","643217","111","614","2435",9.300600114986533,-6.254510487866536,-15.252949064143193,16.909966726083233,13.898092940913049
"2019","Suárez, Eugenio","553993","113","641","2650",29.98128282235447,1.7947018935737957,-0.5149184698944456,18.579638095171394,10.121861303503673
"2019","Kipnis, Jason","543401","114","506","1971",-8.628159016786217,-14.728790240347102,-12.691901477230635,10.922556061092926,7.869976639698582
"2019","Hampson, Garrett","641658","115","325","1332",-13.289287419056166,-15.531062758307545,-10.245777735497304,9.189327137221765,3.2982259375269276
"2019","Turner, Justin","457759","119","543","2132",23.883666337151535,1.1636975590584433,-9.300006520917941,18.681400736806168,13.338574562204755
"2019","Verdugo, Alex","657077","119","371","1451",0.6255963058729584,0.14312477805497753,-19.72632835127508,11.883011900383565,8.32578797870948
"2019","Castro, Starlin","516770","146","672","2482",-10.250539873420843,-8.15843625485562,-21.215169463924834,10.354507520131113,8.7685583252285
"2019","Arcia, Orlando","606115","158","534","2078",-26.552504592314907,-8.793494612648464,-39.256138045297156,11.555933943318252,9.94119412231246
